School,Type,Salary Type,Salary
Hamilton,assistant ,COLA Adjusted Salary,"110,037"
Grinnell,all_fac_2020,Real Salary,"109,613"
Grinnell,all_fac_2020,COLA Adjusted Salary,"132,413"
Grinnell,full,Real Salary,"139,558"
Grinnell,full,COLA Adjusted Salary,"168,586"
Grinnell,associate,Real Salary,"105,908"
Grinnell,associate,COLA Adjusted Salary,"127,936"
Grinnell,assistant,Real Salary,"87,727"
Grinnell,assistant,COLA Adjusted Salary,"105,974"
Furman,all_fac_2020,Real Salary,"87,947"
Furman,all_fac_2020,COLA Adjusted Salary,"97,885"
Furman,full,Real Salary,"102,723"
Furman,full,COLA Adjusted Salary,"114,331"
Furman,associate,Real Salary,"82,983"
Furman,associate,COLA Adjusted Salary,"92,360"
Furman,assistant,Real Salary,"70,364"
Furman,assistant,COLA Adjusted Salary,"78,315"
Davidson,all_fac_2020,Real Salary,"102,411"
Davidson,all_fac_2020,COLA Adjusted Salary,"85,206"
Davidson,full,Real Salary,"134,729"
Davidson,full,COLA Adjusted Salary,"112,095"
Davidson,associate,Real Salary,"98,243"
Davidson,associate,COLA Adjusted Salary,"81,738"
Davidson,assistant,Real Salary,"79,877"
Davidson,assistant,COLA Adjusted Salary,"66,458"
Colgate,all_fac_2020,Real Salary,"109,417"
Colgate,all_fac_2020,COLA Adjusted Salary,"126,268"
Colgate,full,Real Salary,"151,654"
Colgate,full,COLA Adjusted Salary,"175,008"
Colgate,associate,Real Salary,"108,479"
Colgate,associate,COLA Adjusted Salary,"125,185"
Colgate,assistant,Real Salary,"92,464"
Colgate,assistant,COLA Adjusted Salary,"106,704"
Colby,all_fac_2020,Real Salary,"111,341"
Colby,all_fac_2020,COLA Adjusted Salary,"135,057"
Colby,full,Real Salary,"145,971"
Colby,full,COLA Adjusted Salary,"177,063"
Colby,associate,Real Salary,"105,841"
Colby,associate,COLA Adjusted Salary,"128,386"
Colby,assistant,Real Salary,"88,084"
Colby,assistant,COLA Adjusted Salary,"106,846"
Claremont_McKenna,all_fac_2020,Real Salary,"138,183"
Claremont_McKenna,all_fac_2020,COLA Adjusted Salary,"47,397"
Claremont_McKenna,full,Real Salary,"176,098"
Claremont_McKenna,full,COLA Adjusted Salary,"60,402"
Claremont_McKenna,associate,Real Salary,"128,042"
Claremont_McKenna,associate,COLA Adjusted Salary,"43,918"
Claremont_McKenna,assistant,Real Salary,"108,670"
Claremont_McKenna,assistant,COLA Adjusted Salary,"37,274"
Carleton,all_fac_2020,Real Salary,"117,620"
Carleton,all_fac_2020,COLA Adjusted Salary,"114,797"
Carleton,full,Real Salary,"141,305"
Carleton,full,COLA Adjusted Salary,"137,914"
Carleton,associate,Real Salary,"107,210"
Carleton,associate,COLA Adjusted Salary,"104,637"
Carleton,assistant,Real Salary,"88,514"
Carleton,assistant,COLA Adjusted Salary,"86,389"
Bowdoin,all_fac_2020,Real Salary,"114,601"
Bowdoin,all_fac_2020,COLA Adjusted Salary,"107,266"
Bowdoin,full,Real Salary,"146,857"
Bowdoin,full,COLA Adjusted Salary,"137,458"
Bowdoin,associate,Real Salary,"113,680"
Bowdoin,associate,COLA Adjusted Salary,"106,405"
Bowdoin,assistant,Real Salary,"91,352"
Bowdoin,assistant,COLA Adjusted Salary,"85,506"
Bates,all_fac_2020,Real Salary,"101,539"
Bates,all_fac_2020,COLA Adjusted Salary,"115,652"
Bates,full,Real Salary,"134,487"
Bates,full,COLA Adjusted Salary,"153,181"
Bates,associate,Real Salary,"105,217"
Bates,associate,COLA Adjusted Salary,"119,842"
Bates,assistant,Real Salary,"85,862"
Bates,assistant,COLA Adjusted Salary,"85,862"
Amherst,all_fac_2020,Real Salary,"115,573"
Amherst,all_fac_2020,COLA Adjusted Salary,"125,628"
Amherst,full,Real Salary,"155,833"
Amherst,full,COLA Adjusted Salary,"142,275"
Amherst,associate,Real Salary,"110,986"
Amherst,associate,COLA Adjusted Salary,"101,330"
Amherst,assistant,Real Salary,"93,329"
Amherst,assistant,COLA Adjusted Salary,"85,859"
,,,
,,,
,,,
